ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Popularity,description,genre,Description,Genre
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,False,The mesmerizing story a Chinese emigre mother tells her daughter.,Chinese American families -- Fiction|Chinese Americans -- Fiction|Mothers and daughters -- Fiction|California -- Fiction|China -- Fiction,"Winnie is pressed to tell her American-born daughter about the horrors of her violent, war-torn youth and arranged marriage in China.",Fiction
0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,True,,,"#1 NEW YORK TIMES BESTSELLER • A disgraced corporate attorney ventures into a potentially lethal jungle, on a job no one wants, in this “entertaining page-turner” (USA Today) from the master of the legal thriller. In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions—a message that will touch off a vicious legal battle and transform dozens of lives. Because Troy Phelan’s new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil. Enter the lawyers. Nate O’Riley is fresh out of rehab, handpicked for his last job: to find Rachel Lane at any cost. As Phelan’s family circles like vultures in D.C., Nate goes crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman—pursued by enemies and friends alike—holds a stunning surprise of her own.",Fiction
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,False,,,"A collection of critical essays that examine Toni Morrison's novel ""Beloved,"" with a chronology of the author's life, an overview of the novel, its plot, themes, characters, and literary impact, and an introduction by Harold Bloom.",African American women in literature
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,False,,Newspapers -- Headlines -- Humor|American wit and humor,"From America's Finest News Source comes a compilation of the most important, most influential, and glossiest magazine covers ever produced by the hand of humankind. Seen by tens of billions worldwide, these are the unforgettable Onion Magazine covers that altered the course of human history and radically redefined your trivial life anew every weekend. Profound philosophical questions, the thoughts of leading cultural luminaries, harsh truths of existence, remorseless personal attacks -- you will encounter full-color graphical representations of all of these within this handsome volume. Whether you are a connoisseur of pretty pictures or are new to looking at images, The Onion Magazine: The Iconic Covers that Transformed an Undeserving World is sure to give you, the feebleminded consumer, far more pleasure than you have any earthly right to experience.",Humor
0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,True,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",Metaphysics -- Fiction.|Spiritual life -- Fiction.|Adventure fiction.|Metaphysics -- Fiction.|Spiritual life -- Fiction.|Wrangell-Saint Elias National Park and Preserve (Alaska) -- Fiction.,"How far would you go to find yourself? Wild Animus tracks the reckless quest of Ransom Altman, a young Berkeley graduate who—roused by his literary heroes and love for his girlfriend, Lindy—resolves to live in a new world of “inexhaustible desire.” Ransom’s deepening identification with the wild mountain ram, whose passion and wisdom he seeks, drives the young lovers north—first to Seattle, then to the remote Alaskan wilderness. Alone on the unforgiving ridges of Mt. Wrangell, his imagination increasingly unhinged, Ransom begins to devise and act out a dangerous animal mythos, which he documents in a first-person manuscript, and in songs or “chants” that detail his transformation and pursuit by a pack of strangely familiar wolves. The feverish hunt leads from the wilds to civilization and back again. And when the lovers return to brave the perilous mountain together, the truth behind Ransom’s imagined transformation emerges. What they discover in those frozen heights threatens their love as well as their sanity and their lives. Is Ransom inspired by a transcendent truth, or prey to a misguided fantasy? As his grip on reality weakens, the reader shares Ransom’s fears, his hopes, and his extraordinary discoveries. Wild Animus, Shapero’s debut novel, is a search for the primordial and a journey to the breaking point. It is a story of love and surrender, of monomania—of striving, at all costs, for a bliss beyond fear.",Fiction
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,False,"Three passengers are dead. Fifty-six are injured. The interior cabin virtually destroyed. But the pilot manages to land the plane. . . .

At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner bound from Hong Kong to Denver triggers a pressured and frantic investigation.

AIRFRAME is nonstop reading: the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that has been a Crichton landmark since The Andromeda Strain.
(back cover)",,"#1 NEW YORK TIMES BESTSELLER • From the author of Jurassic Park, Timeline, and Sphere comes this extraordinary thriller about airline safety, business intrigue, and a deadly cover-up. “The pacing is fast, the suspense nonstop.”—People Three passengers are dead. Fifty-six are injured. The interior cabin is virtually destroyed. But the pilot manages to land the plane. At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner flying from Hong Kong to Denver triggers a pressured and frantic investigation. Airframe is nonstop reading, full of the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that are the hallmarks of Michael Crichton. “A one-sitting read that will cause a lifetime of white-knuckled nightmares.”—The Philaelphia Inquirer “The ultimate thriller . . . [Crichton’s] stories are always page-turners of the highest order. . . . [Airframe] moves like a firehouse dog chasing a red truck.”—The Denver Post “Dramatically vivid.”—The New York Times",Fiction
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,True,"In an Arizona desert, a man wanders in a daze, speaking words that make no sense. Within twenty-four hours he is dead, his body swiftly cremated by his only known associates. Halfway around the world, archaeologists make a shocking discovery at a medieval site. Suddenly they are swept off to the headquarters of a secretive multinational corporation that has developed an astounding technology. Now this group is about to get a chance not to study the past but to enter it. And with history opened up to the present, the dead awakened to the living, these men and women will soon find themselves fighting for their very survival -- six hundred years ago...
(back cover)",,,
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,True,,,فتاة.. عازف أكورديون.. بعض الألمان المتعصبين.. ملاكم.. سرقات متعددة... هم أبطال قصة احتفظت بها لأعيد سردها مراراً وتكراراً، واحدة من قصص كثيرة تحاول كل منها أن تثبت لي أنكم أنتم، ووجودكم الإنساني، أمر يستحق كل هذا العناء. إذا كانت لديكم الرغبة في تقصّي تفاصيل هذه القصّة، فتعالوا مع الموت وسوف يروي لكم قصّة.,Fiction
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,True,,Seabiscuit (Race horse)|Race horses -- United States -- Biography.|Horse racing -- United States.,"#1 NEW YORK TIMES BESTSELLER • From the author of the runaway phenomenon Unbroken comes a universal underdog story about the horse who came out of nowhere to become a legend. Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes: Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. BONUS: This edition contains a Seabiscuit discussion guide and an excerpt from Unbroken. Praise for Seabiscuit “Fascinating . . . Vivid . . . A first-rate piece of storytelling, leaving us not only with a vivid portrait of a horse but a fascinating slice of American history as well.”—The New York Times “Engrossing . . . Fast-moving . . . More than just a horse’s tale, because the humans who owned, trained, and rode Seabiscuit are equally fascinating. . . . [Laura Hillenbrand] shows an extraordinary talent for describing a horse race so vividly that the reader feels like the rider.”—Sports Illustrated “REMARKABLE . . . MEMORABLE . . . JUST AS COMPELLING TODAY AS IT WAS IN 1938.”—The Washington Post",Biography & Autobiography
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,False,,,"""A novel full of miracles.” — Newsweek “Breathtaking. . . unforgettable. . . . This profound, funny, bighearted novel, in which people actually find love and kinship in surprising places, is also heavenly. . . . A rare feat and a triumph.” — Cosmopolitan In Pigs in Heaven, Pulitzer Prize-winning author Barbara Kingsolver, recipient of the National Book Foundation's Medal for Distinguish Contribution to American Letters, picks up where her modern classic The Bean Trees left off and continues the tale of Turtle and Taylor Greer, a Native American girl and her adoptive mother who have settled in Tucson, Arizona, as they both try to overcome their difficult pasts. When six-year-old Turtle Greer witnesses a freak accident at the Hoover Dam, her insistence on what she has seen and her mother's belief in her lead to a man's dramatic rescue. But Turtle's moment of celebrity draws her into a conflict of historic proportions. The crisis quickly envelops not only Turtle and her mother, Taylor, but everyone else who touches their lives in a complex web connecting their future with their past. Pigs in Heaven travels the roads from rural Kentucky and the urban Southwest to Heaven, Oklahoma, and the Cherokee Nation as it draws the reader into a world of heartbreak and redeeming love, testing the boundaries of family and the many separate truths about the ties that bind.",Fiction
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,False,,,,American fiction
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,False,,Suspense|Fiction - Psychological Suspense|Fiction|Psychological|Fiction / General,"Young news reporter Meghan Collins is on an assignment in a busy casualty department of a New York hospital. A trauma team bring in a street mugging victim, a young woman robbed of her identification. The medics are working furiously to revive her, but finally give up, remove the oxygen mask that has covered her face and Meghan hurls head first into a living nightmare. The face is a mirror image of her own...To add to the mystery of her murdered doppelganger, the recent death of Meghan's father is suddenly being treated as a suspicious case...As the links between these two mysterious stories increase, Meghan's own life could be in danger.",Fiction
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,False,,,"#1 NEW YORK TIMES BESTSELLER • A thrilling and emotionally powerful novel from the author of the Jane Hawk series “A literary miracle . . . a tapestry of intrigue and suspense.”—The Boston Globe His birth was marked by wonder and tragedy. He sees beauty and terror beyond our deepest dreams. His story will change the way you see the world. Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. And a girl is born from a brutal rape, her destiny mysteriously linked to Barty and the man who stalks him. At the age of three, Barty Lampion is blinded when surgeons remove his eyes to save him from a fast-spreading cancer. As he copes with his blindness and proves to be a prodigy, his mother counsels him that all things happen for a reason and that every person’s life has an effect on every other person’s, in often unknowable ways. At thirteen, Bartholomew regains his sight. How he regains it, why he regains it, and what happens as his amazing life unfolds and entwines with others results in a breathtaking journey of courage, heart-stopping suspense, and high adventure.",Fiction
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,False,,,"Isle of Dogs is the final book in the Andy Brazil series, following the success of Hornet's Nest and Southern Cross, from bestselling author Patricia Cornwell. Chaos breaks loose when the Governor of Virginia orders that speed traps be installed on all streets and highways, and warns that motorists will be caught by monitoring aircraft flying overhead. But the eccentric inhabitants of Tangier, fourteen miles off the coast of Virginia in the Chesapeake Bay, respond by threatening to secede and set up an independent state, claiming that their independence lies in the history of America's first settlers, those who set sail from London's Isle of Dogs in 1607. Judy Hammer, newly installed as the superintendent of Virginia State Police, and Andy Brazil, state trooper and Hammer's right hand confidant, find themselves at their wit's end as they try to protect the public from the politician's and vice versa in this pitch-perfect, darkly comic romp. With a Swiftian eye for the absurd and a deadly accurate aim on her targets, Cornwell has created another knowing story about real life policing. Visit the author's own website at patricia-cornwell.com",Fiction
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,False,,"Dallas, Eve (Fictitious character) -- Fiction|Police -- New York (State) -- New York -- Fiction|Women detectives -- Fiction|Policewomen -- Fiction|Detective and mystery stories|New York (N.Y.) -- Fiction","Lieutenant Eve Dallas must take down a group of terrorists who use a computer virus to kill in this thriller in the #1 New York Times bestselling In Death series. Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable—like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened the door, and started swinging… The first cop on the scene fired his stunner twice and Louie died instantly. Detective Eve Dallas has taken over the investigation, but there’s nothing to explain the man’s sudden rage or death. The only clue is a bizarre message left on his computer screen: Absolute Purity Achieved. And when a second man dies under nearly identical circumstances, Dallas starts racking her brain for answers and for courage to face the impossible…that this might be a computer virus able to spread from machine to man…",Fiction
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,False,,,"From the New York Times bestselling author of Circle of Friends and The Glass Lake comes This Year It Will Be Different, a stunning new work that brings us the magic and spirit of Christmas in fifteen stories filled with Maeve Binchy's trademark wit, charm, and sheer storytelling genius. Instead of nostalgia, Binchy evokes contemporary life; instead of Christmas homilies, she offers truth; and instead of sugarplums, she brings us the nourishment of holidays that precipitate change, growth, and new beginnings. In ""A Typical Irish Christmas,"" a grieving New York widower heads for a holiday in Ireland and finds an unexpected destination not just for himself, but for a father and daughter at odds. The title story ""This Year It Will Be Different"" also delves into the emotions of a person at mid-life--a woman with a complacent husband and grown children who are entering a season that can forever alter her life, and theirs. In ""Pulling Together,"" a teacher not yet out of her twenties sees her affair with a married man at a turning point as Christmas Eve approaches--and she may be off on a new direction with some unusual friends. And in the delightful tale ""The Hard Core,"" the four most recalcitrant residents of a nursing home are left alone at Christmas with the owner's daughter in charge: the result is sure to be disaster--or the kind of life-affirming renewal that only the spirit of the season can bring. The stories in This Year It Will Be Different powerfully evoke many lives--step-families grappling with ex's, long-married couples faced with in-law problems, a wandering husband choosing between ""the other woman"" and his wife, a child caught in grown-up tugs-of-war--during the one holiday when feelings cannot be easily hidden. The time of year may be magical, imbued with meaning. But the situations are universal. And Maeve Binchy makes us care about them all. As the Philadelphia Inquirer noted, ""Maeve Binchy's people come to life fully. They make you laugh and cry and disturb your sleep."" They do precisely that in this extraordinary collection, on the night before Christmas when we are snug in our beds, or anywhere, any time of the year.",Fiction
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,False,,,"An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun. A repackage of the New York Times best-selling novel Left Behind. Now a major motion picture starring Nicolas Cage!",Fiction
